8.147400473799326619e+02,6.224258302779514906e+02
8.577142178799933845e+02,6.220926971732998254e+02
9.176781767172874424e+02,6.190944992314350657e+02
9.726451389848070903e+02,6.184282330221318489e+02
1.023614503996507096e+03,6.200938985453900614e+02
9.279892301416257396e+02,3.665794544734104647e+02
9.733770354800542464e+02,3.675120806105014708e+02
1.033065108253877952e+03,3.644033268201981173e+02
1.091509679511580543e+03,3.650250775782587880e+02
1.140938864777403296e+03,3.675120806105014708e+02
5.212728291261900040e+02,3.983105232111857958e+02
5.719216320937912315e+02,3.943380680764719273e+02
6.377981797444621179e+02,3.870552336628299486e+02
6.997022722604192495e+02,3.847379681675802203e+02
7.559787200021984290e+02,3.844069302396874264e+02
8.836074598538124292e+02,6.569188616630648312e+02
9.457242128107892540e+02,6.664990573927477726e+02
1.014639814350121696e+03,6.745340602628044735e+02
1.086954840180632118e+03,6.791696388416834225e+02
1.140109474551776430e+03,6.838052174205622578e+02
1.509194764796301570e+03,6.750345401548770496e+02
1.577876754127026288e+03,6.861222155625276855e+02
1.653334545095759495e+03,6.959779270359948669e+02
1.732796218850588957e+03,7.009057827727285712e+02
1.790390532773662926e+03,7.082975663778289572e+02
2.246796071482950481e+02,6.905618623773204945e+02
3.150969601749696949e+02,7.020434310156283573e+02
4.112550975207982447e+02,7.092194114145707999e+02
5.088484309464153057e+02,7.106546074943591975e+02
5.806082349358396186e+02,7.178305878933017539e+02
1.513647015408784227e+03,6.791229884216629671e+02
1.582069202821415729e+03,6.891138387960736509e+02
1.655335438900428016e+03,6.975909239622404812e+02
1.732537464520875119e+03,7.024349726286213809e+02
1.786124752892714923e+03,7.060680091284071977e+02
2.879769922088643170e+02,4.000094878588164420e+02
3.610651382633775484e+02,4.040699404174005167e+02
4.385521079230235273e+02,4.067769087897898999e+02
5.177309328154127570e+02,4.044083114639491896e+02
5.725470423562976521e+02,4.061001666966925541e+02
1.023099090513838519e+03,2.760981972143728171e+02
1.086593422189736430e+03,2.879464217854733761e+02
1.155859965836170431e+03,2.994908457265457287e+02
1.226949313262773785e+03,3.076934627373076410e+02
1.275557414067288846e+03,3.161998803780977596e+02
2.737193143651261380e+02,2.971883337676392784e+02
3.455252122432443684e+02,3.000733921645279452e+02
4.227806648710412674e+02,3.016762023850216679e+02
5.009978036311343885e+02,2.984705819440342225e+02
5.570961613484142845e+02,2.994322680763305016e+02
