7.018172411886299642e+02,7.424605077677377949e+02
7.483217250044910998e+02,7.453932229633326187e+02
8.115845813666084041e+02,7.449742636496762316e+02
8.735905597877565469e+02,7.483259381589274426e+02
9.293121485040585412e+02,7.520965719818350408e+02
6.897649961733570763e+02,5.039995551978656749e+02
7.369777377623074699e+02,5.071470713037957125e+02
8.030755759868379755e+02,5.074618229143886765e+02
8.631931336101015404e+02,5.093503325779467445e+02
9.185894170744700205e+02,5.165896196215858254e+02
1.482159302292801385e+03,7.470109372730744326e+02
1.526699624546528185e+03,7.487925501632236092e+02
1.586383656366522246e+03,7.479017437181490777e+02
1.645622284963978700e+03,7.510195662759099378e+02
1.697289058778301751e+03,7.541373888336707978e+02
9.480543249227187061e+02,4.757407213306839253e+02
9.925946471764455055e+02,4.796008825926735994e+02
1.050497066106290276e+03,4.819763664462057022e+02
1.106024001182603115e+03,4.870242696349613993e+02
1.155315291143394006e+03,4.929629792687916279e+02
7.311583961921172659e+02,7.662622295914508186e+02
7.739467991038641230e+02,7.688752618303360578e+02
8.324133954489227563e+02,7.685486328004755023e+02
8.866338144057926911e+02,7.718149230990820797e+02
9.372613140341954932e+02,7.737746972782460944e+02
6.936756364672343125e+02,2.674960913722688929e+02
7.376814748539163702e+02,2.691886236179104799e+02
7.986126356970145252e+02,2.689065349103035487e+02
8.547482885107948505e+02,2.739841316472284234e+02
9.060884332952573459e+02,2.796259057993671604e+02
3.393853438144399775e+02,2.675520626810911722e+02
3.849427426739532052e+02,2.657028693694504113e+02
4.479834237526154652e+02,2.613320488146631533e+02
5.069895012422433638e+02,2.628450251605510744e+02
5.592712394168139554e+02,2.653666524036975716e+02
3.539814454121448080e+02,5.437501559524740742e+02
4.350448319139275100e+02,5.470758333474190067e+02
5.206810248337594658e+02,5.495700913936277630e+02
6.021601210099103128e+02,5.474915430217871517e+02
6.582809270496061345e+02,5.479072526961551830e+02
