8.147400473799326619e+02,6.224258302779514906e+02
8.577142178799933845e+02,6.220926971732998254e+02
9.176781767172874424e+02,6.190944992314350657e+02
9.726451389848070903e+02,6.184282330221318489e+02
1.023614503996507096e+03,6.200938985453900614e+02
9.279892301416257396e+02,3.665794544734104647e+02
9.733770354800542464e+02,3.675120806105014708e+02
1.033065108253877952e+03,3.644033268201981173e+02
1.091509679511580543e+03,3.650250775782587880e+02
1.140938864777403296e+03,3.675120806105014708e+02
5.212728291261900040e+02,3.983105232111857958e+02
5.719216320937912315e+02,3.943380680764719273e+02
6.377981797444621179e+02,3.870552336628299486e+02
6.997022722604192495e+02,3.847379681675802203e+02
7.559787200021984290e+02,3.844069302396874264e+02
