4.531565375203455233e+02,6.551903844865579458e+02
5.064829763857127887e+02,6.564600616023999464e+02
5.791719912676717286e+02,6.539207073707158315e+02
6.467822976862622681e+02,6.551903844865579458e+02
7.080442185256424636e+02,6.586819965551236464e+02
8.553016218422175143e+02,3.959232056992527191e+02
9.053333952543476926e+02,3.971509792799184879e+02
9.734748289812978328e+02,3.940815453282540943e+02
1.039160715546916435e+03,3.959232056992527191e+02
1.097479960628540539e+03,3.999134698364164819e+02
8.178241475689087565e+02,2.340359633109653146e+02
8.692146431091305203e+02,2.337300675041782654e+02
9.392647828633614608e+02,2.306711094363079155e+02
1.005644172936148038e+03,2.322005884702430762e+02
1.065599751066406952e+03,2.358713381516874961e+02
8.098478096480988597e+02,2.961269957907518915e+02
8.591829367879229267e+02,2.961269957907518915e+02
9.256524194613384680e+02,2.943544762527941430e+02
9.897585427508105340e+02,2.964224157137448401e+02
1.047956267580423173e+03,2.996720348666674454e+02
