1.179022023271039554e+00,6.866838817557950891e-01,-1.675640072182149054e-01
1.207319062160142398e+00,6.085690327361981122e-01,-1.659733850747420192e-01
1.241615721983324816e+00,5.136780410112108397e-01,-1.647646629316948108e-01
1.273704688825141096e+00,4.226985811507505408e-01,-1.710154598314843066e-01
1.300238901031440353e+00,3.468432712139557506e-01,-1.782839283432094413e-01
1.196238232315709027e+00,1.315963076687344246e-01,1.608399365262517255e-01
1.192430257106227742e+00,6.684831304560427678e-02,1.598546629384325901e-01
1.187582591444743763e+00,-1.445879519080600119e-02,1.590467508469040891e-01
1.183216324810919540e+00,-1.010353194590107723e-01,1.529963389657755246e-01
1.178951080230135062e+00,-1.704627752638555038e-01,1.531275785333232053e-01
1.145795449141217226e+00,1.705440451321550699e-01,3.555409754450012394e-01
1.145387212207940042e+00,1.062405721947561332e-01,3.531781345578101639e-01
1.144531337881003585e+00,2.573266401590615024e-02,3.516797217877911108e-01
1.143350416369222078e+00,-5.431022946785455524e-02,3.515872790812619164e-01
1.143319269798262816e+00,-1.290363905498264074e-01,3.469645121959863410e-01
1.188490880816169604e+00,1.861903632189143010e-01,2.866740638683617504e-01
1.189970099951396021e+00,1.207178766057071667e-01,2.856008138490747084e-01
1.191622162692236309e+00,3.821325458373822648e-02,2.851296851491677553e-01
1.192970750274130243e+00,-3.825650677020901030e-02,2.854523878137468218e-01
1.195460311186605118e+00,-1.092900139157646222e-01,2.806094921293897371e-01
